Time,Z,X,Y
6.76,15.0858,6.206089,-0.57499
6.77,15.089205,6.203734,-0.582927
6.78,15.087769,6.202779,-0.578932
6.79,15.086574,6.202483,-0.58087
6.8,15.100208,6.219985,-0.584728
6.81,15.089292,6.211666,-0.57621
6.82,15.087155,6.208086,-0.579227
6.83,15.086732,6.204689,-0.58163
6.84,15.092002,6.2212,-0.591806
6.85,15.087395,6.207535,-0.569065
6.86,15.09968,6.220282,-0.58955
6.87,15.087183,6.213428,-0.579159
6.88,15.08295,6.211085,-0.57582
6.89,15.082416,6.206507,-0.580115
6.9,15.078009,6.213845,-0.580447
6.91,15.088557,6.204854,-0.576087
6.92,15.094575,6.220504,-0.586952
6.93,15.088385,6.204709,-0.582063
6.94,15.089114,6.211143,-0.58137
6.95,15.085856,6.213553,-0.572151
6.96,15.08579,6.205377,-0.582577
6.97,15.092326,6.208629,-0.588485
6.98,15.084064,6.209569,-0.580232
6.99,15.084826,6.208966,-0.583412
