%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683143893684009200,4612,-3042,-869,43893.24609375
1683143893684057800,4612,-3042,354,43893.2578125
1683143893684139600,4612,-3042,-2465,43893.265625
1683143893684213400,4612,-3042,-853,43893.27734375
1683143893684520600,4615,-3043,-2013,43893.28515625
1683143893731728100,4628,-3049,738,43893.296875
1683143893731786300,4635,-3059,-1285,43893.30859375
1683143893731820700,4643,-3066,-1705,43893.31640625
1683143893732000200,4653,-3077,-2049,43893.328125
1683143893732111200,4667,-3091,-1985,43893.3359375
1683143893777809000,4679,-3104,966,43893.34765625
1683143893777851400,4689,-3114,358,43893.35546875
1683143893778016600,4693,-3121,-841,43893.3671875
1683143893778044300,4691,-3119,-785,43893.37890625
1683143893778054000,4688,-3119,-1953,43893.38671875
1683143893823096900,4688,-3118,-2337,43893.3984375
1683143893823137900,4688,-3116,-2105,43893.40625
1683143893823164100,4686,-3117,-17,43893.41796875
1683143893823307800,4686,-3116,1494,43893.42578125
1683143893869311300,4686,-3116,2454,43893.4375
1683143893869334000,4685,-3116,1282,43893.4453125
1683143893869338600,4685,-3115,-869,43893.45703125
1683143893869380200,4684,-3115,1906,43893.46875
1683143893869476700,4684,-3115,-1033,43893.4765625
1683143893917142900,4684,-3115,-1042,43893.48828125
1683143893917190500,4684,-3115,-622,43893.49609375
1683143893917222600,4684,-3115,-766,43893.5078125
1683143893917460600,4684,-3115,-162,43893.515625
1683143893917593500,4683,-3113,-745,43893.52734375
1683143893962903700,4682,-3113,1210,43893.53515625
1683143893962951000,4682,-3113,1574,43893.546875
1683143893962990200,4683,-3113,-1753,43893.55859375
1683143893963010600,4682,-3113,-617,43893.56640625
1683143894009858100,4682,-3113,878,43893.578125
1683143894009908900,4682,-3113,-269,43893.5859375
1683143894009944300,4682,-3113,-173,43893.59765625
1683143894009977400,4682,-3113,-1517,43893.60546875
1683143894010034100,4682,-3113,1946,43893.6171875
1683143894070424900,4682,-3113,330,43893.62890625
