%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,Time ms
1.67607E+18,-1.058837891,-0.301025391,-0.104736328,-12.6870229,-4.86259542,-10.33587786,0,0,9623.940096
1.67607E+18,-1.086181641,-0.176757813,-0.108398438,-12.6259542,-4.511450382,-8.748091603,0,0,9623.95008
1.67607E+18,-1.124267578,-0.179443359,-0.102294922,-12.48854962,-4.160305344,-7.152671756,0,0,9623.960064
1.67607E+18,-1.125,-0.185058594,-0.1015625,-12.26717557,-3.79389313,-5.58778626,0,0,9623.960064
1.67607E+18,-1.103027344,-0.116455078,-0.112792969,-11.81679389,-3.496183206,-4.061068702,0,0,9623.970048
1.67607E+18,-1.059814453,-0.099609375,-0.118408203,-11.17557252,-3.236641221,-2.572519084,0,0,9623.970048
1.67607E+18,-1.02734375,-0.070800781,-0.110351563,-10.46564885,-3.053435115,-1.160305344,0,0,9623.990016
1.67607E+18,-1.016113281,-0.017578125,-0.111328125,-9.41221374,-2.832061069,0.152671756,0,0,9758.600192
1.67607E+18,-1.031005859,0.036376953,-0.07421875,-8.389312977,-2.954198473,0.72519084,0,0,9758.630144
1.67607E+18,-0.972167969,-0.605712891,0.056396484,-10.48854962,-3.13740458,1.099236641,0,0,9758.630144
1.67607E+18,-1.002929688,0.319824219,-0.208251953,-6.717557252,-2.366412214,3.038167939,0,0,9758.640128
1.67607E+18,-0.943115234,0.055175781,0.030517578,-5.366412214,-2.366412214,4.511450382,0,0,9758.650112
1.67607E+18,-0.908203125,0.171386719,-0.00390625,-4.053435115,-2.618320611,5.580152672,0,0,9758.680064
1.67607E+18,-0.985839844,0.358398438,-0.042724609,-1.282442748,-2.259541985,6.358778626,0,0,9758.750208
1.67607E+18,-1.651855469,-0.242431641,0.159179688,-1.20610687,-1.045801527,6.366412214,0,0,9758.760192
1.67607E+18,-1.921875,-0.504394531,0.086669922,-2.244274809,-0.221374046,6.877862595,0,0,9758.78016
1.67607E+18,-0.636474609,-1.012695313,-0.203369141,-2.007633588,-1.396946565,9.458015267,0,0,9758.820096
1.67607E+18,-1.716552734,0.823242188,0.204345703,4.977099237,-0.374045802,12.09160305,0,0,9758.83008
1.67607E+18,-0.99609375,0.492431641,0.519042969,5.381679389,0.687022901,13.22900763,0,0,9758.840064
1.67607E+18,-1.211181641,-0.303222656,0.105224609,6.183206107,3.358778626,11.90839695,0,0,9758.870016
